# The exercise vocabulary (DESIGN_strength_tracking.md §4): one exercise per line,
# its movement pattern, its equipment class, and the Garmin names that mean it.
# A Garmin name is CATEGORY/NAME; a bare CATEGORY is a set tagged with the category
# and no exercise. Authored from Garmin Connect's exercise catalog and the FIT SDK
# exercise names on 2026-09-14; a name Garmin adds later is added here by hand.
# The photos column is the id of the same exercise in Free Exercise DB (public domain), whose
# two photos the gym logger shows (DESIGN_gym_logger.md §2); empty when it has no exact match.
# exercise	pattern	equipment	garmin names	photos
dumbbell straight leg deadlift	hinge	dumbbell	DEADLIFT/DUMBBELL_STRAIGHT_LEG_DEADLIFT	Stiff-Legged_Dumbbell_Deadlift
kettlebell deadlift	hinge	kettlebell	DEADLIFT/KETTLEBELL_DEADLIFT
kettlebell floor to shelf	hinge	kettlebell	DEADLIFT/KETTLEBELL_FLOOR_TO_SHELF
kettlebell sumo deadlift	hinge	kettlebell	DEADLIFT/KETTLEBELL_SUMO_DEADLIFT
one arm one leg deadlift	hinge	dumbbell	DEADLIFT/ONE_ARM_ONE_LEG_DEADLIFT
rack pull	hinge	barbell	DEADLIFT/RACK_PULL	Rack_Pulls
rotational dumbbell straight leg deadlift	hinge	dumbbell	DEADLIFT/ROTATIONAL_DUMBBELL_STRAIGHT_LEG_DEADLIFT
ruck deadlift	hinge	barbell	DEADLIFT/RUCK_DEADLIFT
single arm deadlift	hinge	dumbbell	DEADLIFT/SINGLE_ARM_DEADLIFT
single leg barbell deadlift	hinge	barbell	DEADLIFT/SINGLE_LEG_BARBELL_DEADLIFT
single leg barbell straight leg deadlift	hinge	barbell	DEADLIFT/SINGLE_LEG_BARBELL_STRAIGHT_LEG_DEADLIFT
single leg deadlift with barbell	hinge	barbell	DEADLIFT/SINGLE_LEG_DEADLIFT_WITH_BARBELL
single leg rdl circuit	hinge	barbell	DEADLIFT/SINGLE_LEG_RDL_CIRCUIT
single leg romanian deadlift circuit	hinge	barbell	DEADLIFT/SINGLE_LEG_ROMANIAN_DEADLIFT_CIRCUIT
single leg romanian deadlift with dumbbell	hinge	dumbbell	DEADLIFT/SINGLE_LEG_ROMANIAN_DEADLIFT_WITH_DUMBBELL
sumo deadlift	hinge	barbell	DEADLIFT/SUMO_DEADLIFT	Sumo_Deadlift
sumo deadlift high pull	hinge	barbell	DEADLIFT/SUMO_DEADLIFT_HIGH_PULL
trap bar deadlift	hinge	barbell	DEADLIFT/TRAP_BAR_DEADLIFT	Trap_Bar_Deadlift
wide grip barbell deadlift	hinge	barbell	DEADLIFT/WIDE_GRIP_BARBELL_DEADLIFT
straight leg deadlift	hinge	barbell	DEADLIFT/STRAIGHT_LEG_DEADLIFT	Stiff-Legged_Barbell_Deadlift
alternating barbell forward lunge	single_leg	barbell	LUNGE/ALTERNATING_BARBELL_FORWARD_LUNGE	Barbell_Lunge
alternating dumbbell lunge	single_leg	dumbbell	LUNGE/ALTERNATING_DUMBBELL_LUNGE	Dumbbell_Lunges
alternating dumbbell lunge with reach	single_leg	dumbbell	LUNGE/ALTERNATING_DUMBBELL_LUNGE_WITH_REACH
back foot elevated dumbbell split squat	single_leg	dumbbell	LUNGE/BACK_FOOT_ELEVATED_DUMBBELL_SPLIT_SQUAT
barbell box lunge	single_leg	barbell	LUNGE/BARBELL_BOX_LUNGE
barbell bulgarian split squat	single_leg	barbell	LUNGE/BARBELL_BULGARIAN_SPLIT_SQUAT	One_Leg_Barbell_Squat
