# The exercise vocabulary (DESIGN_strength_tracking.md §4): one exercise per line,
# its movement pattern, its equipment class, and the Garmin names that mean it.
# A Garmin name is CATEGORY/NAME; a bare CATEGORY is a set tagged with the category
# and no exercise. Authored from Garmin Connect's exercise catalog and the FIT SDK
# exercise names on 2026-09-14; a name Garmin adds later is added here by hand.
# The photos column is the id of the same exercise in Free Exercise DB (public domain), whose
# two photos the gym logger shows (DESIGN_gym_logger.md §2); empty when it has no exact match.
# exercise	pattern	equipment	garmin names	photos
single leg hip raise	hinge	bodyweight	HIP_RAISE/SINGLE_LEG_HIP_RAISE HIP_RAISE/WEIGHTED_SINGLE_LEG_HIP_RAISE	Single_Leg_Glute_Bridge
single leg hip raise with foot on bench	hinge	bodyweight	HIP_RAISE/SINGLE_LEG_HIP_RAISE_WITH_FOOT_ON_BENCH HIP_RAISE/WEIGHTED_SINGLE_LEG_HIP_RAISE_WITH_FOOT_ON_BENCH
single leg hip raise with foot on bosu ball	hinge	bodyweight	HIP_RAISE/SINGLE_LEG_HIP_RAISE_WITH_FOOT_ON_BOSU_BALL HIP_RAISE/WEIGHTED_SINGLE_LEG_HIP_RAISE_WITH_FOOT_ON_BOSU_BALL
single leg hip raise with foot on foam roller	accessory	bodyweight	HIP_RAISE/SINGLE_LEG_HIP_RAISE_WITH_FOOT_ON_FOAM_ROLLER HIP_RAISE/WEIGHTED_SINGLE_LEG_HIP_RAISE_WITH_FOOT_ON_FOAM_ROLLER
single leg hip raise with foot on medicine ball	hinge	bodyweight	HIP_RAISE/SINGLE_LEG_HIP_RAISE_WITH_FOOT_ON_MEDICINE_BALL HIP_RAISE/WEIGHTED_SINGLE_LEG_HIP_RAISE_WITH_FOOT_ON_MEDICINE_BALL
single leg hip raise with head on bosu ball	hinge	bodyweight	HIP_RAISE/SINGLE_LEG_HIP_RAISE_WITH_HEAD_ON_BOSU_BALL HIP_RAISE/WEIGHTED_SINGLE_LEG_HIP_RAISE_WITH_HEAD_ON_BOSU_BALL
single leg swiss ball hip raise and leg curl	accessory	bodyweight	HIP_RAISE/SINGLE_LEG_SWISS_BALL_HIP_RAISE_AND_LEG_CURL
clams	accessory	bodyweight	HIP_RAISE/CLAMS
inner thigh circles	accessory	bodyweight	HIP_RAISE/INNER_THIGH_CIRCLES
inner thigh side lift	accessory	bodyweight	HIP_RAISE/INNER_THIGH_SIDE_LIFT
leg circles	accessory	bodyweight	HIP_RAISE/LEG_CIRCLES
leg lift	accessory	bodyweight	HIP_RAISE/LEG_LIFT
leg lift in external rotation	accessory	bodyweight	HIP_RAISE/LEG_LIFT_IN_EXTERNAL_ROTATION
hip swing	hinge	kettlebell	HIP_SWING/HIP_SWING HIP_SWING
one arm swing	hinge	kettlebell	HIP_SWING/ONE_ARM_SWING	One-Arm_Kettlebell_Swings
single arm dumbbell swing	hinge	dumbbell	HIP_SWING/SINGLE_ARM_DUMBBELL_SWING
single arm kettlebell swing	hinge	kettlebell	HIP_SWING/SINGLE_ARM_KETTLEBELL_SWING	One-Arm_Kettlebell_Swings
step out swing	hinge	kettlebell	HIP_SWING/STEP_OUT_SWING
bar holds	core_carry	barbell	CARRY/BAR_HOLDS
carry	core_carry	dumbbell	CARRY/CARRY CARRY
dumbbell waiter carry	core_carry	dumbbell	CARRY/DUMBBELL_WAITER_CARRY
farmers carry	core_carry	dumbbell	CARRY/FARMERS_CARRY
farmers carry on toes	core_carry	dumbbell	CARRY/FARMERS_CARRY_ON_TOES
farmers carry walk lunge	single_leg	dumbbell	CARRY/FARMERS_CARRY_WALK_LUNGE
farmers walk	core_carry	dumbbell	CARRY/FARMERS_WALK
farmers walk on toes	core_carry	dumbbell	CARRY/FARMERS_WALK_ON_TOES
hex dumbbell hold	core_carry	dumbbell	CARRY/HEX_DUMBBELL_HOLD
overhead carry	core_carry	dumbbell	CARRY/OVERHEAD_CARRY
abs jabs	core_carry	bodyweight	CORE/ABS_JABS CORE/WEIGHTED_ABS_JABS
alternating plate reach	core_carry	dumbbell	CORE/ALTERNATING_PLATE_REACH
alternating slide out	core_carry	bodyweight	CORE/ALTERNATING_SLIDE_OUT CORE/WEIGHTED_ALTERNATING_SLIDE_OUT
barbell rollout	core_carry	bodyweight	CORE/BARBELL_ROLLOUT CORE/WEIGHTED_BARBELL_ROLLOUT	Barbell_Ab_Rollout
body bar oblique twist	core_carry	barbell	CORE/BODY_BAR_OBLIQUE_TWIST
cable core press	core_carry	cable	CORE/CABLE_CORE_PRESS	Pallof_Press
cable side bend	core_carry	cable	CORE/CABLE_SIDE_BEND
core	core_carry	bodyweight	CORE/CORE CORE
crescent circle	accessory	bodyweight	CORE/CRESCENT_CIRCLE CORE/WEIGHTED_CRESCENT_CIRCLE
cycling russian twist	core_carry	bodyweight	CORE/CYCLING_RUSSIAN_TWIST CORE/WEIGHTED_CYCLING_RUSSIAN_TWIST
elevated feet russian twist	core_carry	bodyweight	CORE/ELEVATED_FEET_RUSSIAN_TWIST CORE/WEIGHTED_ELEVATED_FEET_RUSSIAN_TWIST
ghd back extensions	accessory	bodyweight	CORE/GHD_BACK_EXTENSIONS CORE/WEIGHTED_GHD_BACK_EXTENSIONS
half turkish get up	core_carry	bodyweight	CORE/HALF_TURKISH_GET_UP
hanging l sit	core_carry	bodyweight	CORE/HANGING_L_SIT CORE/WEIGHTED_HANGING_L_SIT
inchworm	core_carry	bodyweight	CORE/INCHWORM	Inchworm
kettlebell windmill	core_carry	kettlebell	CORE/KETTLEBELL_WINDMILL	Kettlebell_Windmill
kneeling ab wheel	core_carry	bodyweight	CORE/KNEELING_AB_WHEEL CORE/WEIGHTED_KNEELING_AB_WHEEL	Ab_Roller
l sit	core_carry	bodyweight	CORE/L_SIT CORE/WEIGHTED_L_SIT
modified front lever	core_carry	bodyweight	CORE/MODIFIED_FRONT_LEVER CORE/WEIGHTED_MODIFIED_FRONT_LEVER
open knee tucks	core_carry	bodyweight	CORE/OPEN_KNEE_TUCKS CORE/WEIGHTED_OPEN_KNEE_TUCKS
overhead walk	core_carry	bodyweight	CORE/OVERHEAD_WALK
ring l sit	core_carry	bodyweight	CORE/RING_L_SIT CORE/WEIGHTED_RING_L_SIT
russian twist	core_carry	bodyweight	CORE/RUSSIAN_TWIST SANDBAG/RUSSIAN_TWIST	Russian_Twist
side abs leg lift	accessory	bodyweight	CORE/SIDE_ABS_LEG_LIFT CORE/WEIGHTED_SIDE_ABS_LEG_LIFT
side bend	core_carry	bodyweight	CORE/SIDE_BEND CORE/WEIGHTED_SIDE_BEND
swiss ball jackknife	core_carry	bodyweight	CORE/SWISS_BALL_JACKKNIFE CORE/WEIGHTED_SWISS_BALL_JACKKNIFE	Exercise_Ball_Pull-In
swiss ball pike	core_carry	bodyweight	CORE/SWISS_BALL_PIKE CORE/WEIGHTED_SWISS_BALL_PIKE
swiss ball rollout	core_carry	bodyweight	CORE/SWISS_BALL_ROLLOUT CORE/WEIGHTED_SWISS_BALL_ROLLOUT
toes to elbows	core_carry	bodyweight	CORE/TOES_TO_ELBOWS
triangle hip press	core_carry	bodyweight	CORE/TRIANGLE_HIP_PRESS CORE/WEIGHTED_TRIANGLE_HIP_PRESS
trx suspended jackknife	core_carry	bodyweight	CORE/TRX_SUSPENDED_JACKKNIFE CORE/WEIGHTED_TRX_SUSPENDED_JACKKNIFE	Suspended_Reverse_Crunch
turkish get up	core_carry	bodyweight	CORE/TURKISH_GET_UP
u boat	core_carry	bodyweight	CORE/U_BOAT CORE/WEIGHTED_U_BOAT
windmill switches	core_carry	bodyweight	CORE/WEIGHTED_WINDMILL_SWITCHES CORE/WINDMILL_SWITCHES
abdominal leg rotations	core_carry	bodyweight	CORE/ABDOMINAL_LEG_ROTATIONS
arm and leg extension on knees	accessory	bodyweight	CORE/ARM_AND_LEG_EXTENSION_ON_KNEES
bicycle	core_carry	bodyweight	CORE/BICYCLE	Air_Bike
bicep curl with leg extension	accessory	bodyweight	CORE/BICEP_CURL_WITH_LEG_EXTENSION
cat cow	accessory	bodyweight	CORE/CAT_COW
corkscrew	core_carry	bodyweight	CORE/CORKSCREW
criss cross	core_carry	bodyweight	CORE/CRISS_CROSS CORE/WEIGHTED_CRISS_CROSS
criss cross with ball	core_carry	bodyweight	CORE/CRISS_CROSS_WITH_BALL
double leg stretch	accessory	bodyweight	CORE/DOUBLE_LEG_STRETCH CORE/WEIGHTED_DOUBLE_LEG_STRETCH
knee folds	core_carry	bodyweight	CORE/KNEE_FOLDS
lower lift	core_carry	bodyweight	CORE/LOWER_LIFT
neck pull	core_carry	bodyweight	CORE/NECK_PULL
pelvic clocks	core_carry	bodyweight	CORE/PELVIC_CLOCKS
roll over	core_carry	bodyweight	CORE/ROLL_OVER
roll up	core_carry	bodyweight	CORE/ROLL_UP
rolling	core_carry	bodyweight	CORE/ROLLING
rowing 1	core_carry	bodyweight	CORE/ROWING_1	Rowing_Stationary
rowing 2	core_carry	bodyweight	CORE/ROWING_2
scissors	core_carry	bodyweight	CORE/SCISSORS	Scissor_Kick
single leg circles	accessory	bodyweight	CORE/SINGLE_LEG_CIRCLES
single leg stretch	accessory	bodyweight	CORE/SINGLE_LEG_STRETCH
snake twist 1 and 2	core_carry	bodyweight	CORE/SNAKE_TWIST_1_AND_2
swan	core_carry	bodyweight	CORE/SWAN
swimming	core_carry	bodyweight	CORE/SWIMMING
teaser	core_carry	bodyweight	CORE/TEASER
the hundred	core_carry	bodyweight	CORE/THE_HUNDRED CORE/WEIGHTED_THE_HUNDRED
bicep curl with leg extension with weights	accessory	bodyweight	CORE/BICEP_CURL_WITH_LEG_EXTENSION_WITH_WEIGHTS
lower lift with weights	core_carry	bodyweight	CORE/LOWER_LIFT_WITH_WEIGHTS
rowing 1 with weights	core_carry	bodyweight	CORE/ROWING_1_WITH_WEIGHTS
rowing 2 with weights	core_carry	bodyweight	CORE/ROWING_2_WITH_WEIGHTS
scissors with weights	core_carry	bodyweight	CORE/SCISSORS_WITH_WEIGHTS
single leg stretch with weights	accessory	bodyweight	CORE/SINGLE_LEG_STRETCH_WITH_WEIGHTS
side bend low wheelchair	core_carry	bodyweight	CORE/SIDE_BEND_LOW_WHEELCHAIR
side bend mid wheelchair	core_carry	bodyweight	CORE/SIDE_BEND_MID_WHEELCHAIR
side bend high wheelchair	core_carry	bodyweight	CORE/SIDE_BEND_HIGH_WHEELCHAIR
seated side bend	core_carry	bodyweight	CORE/SEATED_SIDE_BEND
45 degree plank	core_carry	bodyweight	PLANK/_45_DEGREE_PLANK
90 degree static hold	core_carry	bodyweight	PLANK/_90_DEGREE_STATIC_HOLD
bear crawl	accessory	bodyweight	PLANK/BEAR_CRAWL PLANK/WEIGHTED_BEAR_CRAWL WARM_UP/BEAR_CRAWL
cross body mountain climber	accessory	bodyweight	PLANK/CROSS_BODY_MOUNTAIN_CLIMBER PLANK/WEIGHTED_CROSS_BODY_MOUNTAIN_CLIMBER
elbow plank pike jacks	accessory	bodyweight	PLANK/ELBOW_PLANK_PIKE_JACKS PLANK/WEIGHTED_ELBOW_PLANK_PIKE_JACKS
elevated feet plank	core_carry	bodyweight	PLANK/ELEVATED_FEET_PLANK PLANK/WEIGHTED_ELEVATED_FEET_PLANK
elevator abs	core_carry	bodyweight	PLANK/ELEVATOR_ABS PLANK/WEIGHTED_ELEVATOR_ABS
extended plank	core_carry	bodyweight	PLANK/EXTENDED_PLANK PLANK/WEIGHTED_EXTENDED_PLANK
full plank passe twist	core_carry	bodyweight	PLANK/FULL_PLANK_PASSE_TWIST PLANK/WEIGHTED_FULL_PLANK_PASSE_TWIST
inching elbow plank	core_carry	bodyweight	PLANK/INCHING_ELBOW_PLANK PLANK/WEIGHTED_INCHING_ELBOW_PLANK
inchworm to side plank	core_carry	bodyweight	PLANK/INCHWORM_TO_SIDE_PLANK PLANK/WEIGHTED_INCHWORM_TO_SIDE_PLANK
kneeling plank	core_carry	bodyweight	PLANK/KNEELING_PLANK PLANK/WEIGHTED_KNEELING_PLANK
kneeling side plank with leg lift	accessory	bodyweight	PLANK/KNEELING_SIDE_PLANK_WITH_LEG_LIFT PLANK/WEIGHTED_KNEELING_SIDE_PLANK_WITH_LEG_LIFT
lateral roll	core_carry	bodyweight	PLANK/LATERAL_ROLL PLANK/WEIGHTED_LATERAL_ROLL
lying reverse plank	core_carry	bodyweight	PLANK/LYING_REVERSE_PLANK PLANK/WEIGHTED_LYING_REVERSE_PLANK
medicine ball mountain climber	accessory	bodyweight	PLANK/MEDICINE_BALL_MOUNTAIN_CLIMBER PLANK/WEIGHTED_MEDICINE_BALL_MOUNTAIN_CLIMBER
modified mountain climber and extension	accessory	bodyweight	PLANK/MODIFIED_MOUNTAIN_CLIMBER_AND_EXTENSION PLANK/WEIGHTED_MODIFIED_MOUNTAIN_CLIMBER_AND_EXTENSION
mountain climber	accessory	bodyweight	PLANK/MOUNTAIN_CLIMBER PLANK/WEIGHTED_MOUNTAIN_CLIMBER SUSPENSION/MOUNTAIN_CLIMBER
mountain climber on sliding discs	accessory	bodyweight	PLANK/MOUNTAIN_CLIMBER_ON_SLIDING_DISCS PLANK/WEIGHTED_MOUNTAIN_CLIMBER_ON_SLIDING_DISCS
mountain climber with feet on bosu ball	accessory	bodyweight	PLANK/MOUNTAIN_CLIMBER_WITH_FEET_ON_BOSU_BALL PLANK/WEIGHTED_MOUNTAIN_CLIMBER_WITH_FEET_ON_BOSU_BALL
mountain climber with hands on bench	accessory	bodyweight	PLANK/MOUNTAIN_CLIMBER_WITH_HANDS_ON_BENCH PLANK/WEIGHTED_MOUNTAIN_CLIMBER_WITH_HANDS_ON_BENCH
mountain climber with hands on swiss ball	accessory	bodyweight	PLANK/MOUNTAIN_CLIMBER_WITH_HANDS_ON_SWISS_BALL PLANK/WEIGHTED_MOUNTAIN_CLIMBER_WITH_HANDS_ON_SWISS_BALL
plank	core_carry	bodyweight	PLANK/PLANK PLANK/WEIGHTED_PLANK BANDED_EXERCISES/PLANK SUSPENSION/PLANK POSE/PLANK PLANK	Plank
plank jacks with feet on sliding discs	accessory	bodyweight	PLANK/PLANK_JACKS_WITH_FEET_ON_SLIDING_DISCS PLANK/WEIGHTED_PLANK_JACKS_WITH_FEET_ON_SLIDING_DISCS
plank knee twist	core_carry	bodyweight	PLANK/PLANK_KNEE_TWIST PLANK/WEIGHTED_PLANK_KNEE_TWIST
plank pike jumps	accessory	bodyweight	PLANK/PLANK_PIKE_JUMPS PLANK/WEIGHTED_PLANK_PIKE_JUMPS
plank pikes	core_carry	bodyweight	PLANK/PLANK_PIKES PLANK/WEIGHTED_PLANK_PIKES
plank to stand up	core_carry	bodyweight	PLANK/PLANK_TO_STAND_UP PLANK/WEIGHTED_PLANK_TO_STAND_UP
plank with arm raise	core_carry	bodyweight	PLANK/PLANK_WITH_ARM_RAISE PLANK/WEIGHTED_PLANK_WITH_ARM_RAISE
plank with feet on swiss ball	core_carry	bodyweight	PLANK/PLANK_WITH_FEET_ON_SWISS_BALL
plank with knee to elbow	core_carry	bodyweight	PLANK/PLANK_WITH_KNEE_TO_ELBOW PLANK/WEIGHTED_PLANK_WITH_KNEE_TO_ELBOW
plank with leg lift	accessory	bodyweight	PLANK/PLANK_WITH_LEG_LIFT
plank with oblique crunch	core_carry	bodyweight	PLANK/PLANK_WITH_OBLIQUE_CRUNCH PLANK/WEIGHTED_PLANK_WITH_OBLIQUE_CRUNCH
plyometric side plank	core_carry	bodyweight	PLANK/PLYOMETRIC_SIDE_PLANK PLANK/WEIGHTED_PLYOMETRIC_SIDE_PLANK
ring plank sprawls	core_carry	bodyweight	PLANK/RING_PLANK_SPRAWLS
rolling side plank	core_carry	bodyweight	PLANK/ROLLING_SIDE_PLANK PLANK/WEIGHTED_ROLLING_SIDE_PLANK
side kick plank	accessory	bodyweight	PLANK/SIDE_KICK_PLANK PLANK/WEIGHTED_SIDE_KICK_PLANK
side plank	core_carry	bodyweight	PLANK/SIDE_PLANK PLANK/WEIGHTED_SIDE_PLANK SUSPENSION/SIDE_PLANK POSE/SIDE_PLANK	Side_Bridge
side plank and row	pull_horizontal	bodyweight	PLANK/SIDE_PLANK_AND_ROW PLANK/WEIGHTED_SIDE_PLANK_AND_ROW
side plank lift	core_carry	bodyweight	PLANK/SIDE_PLANK_LIFT PLANK/WEIGHTED_SIDE_PLANK_LIFT
side plank to plank with reach under	core_carry	bodyweight	PLANK/SIDE_PLANK_TO_PLANK_WITH_REACH_UNDER
side plank with elbow on bosu ball	core_carry	bodyweight	PLANK/SIDE_PLANK_WITH_ELBOW_ON_BOSU_BALL PLANK/WEIGHTED_SIDE_PLANK_WITH_ELBOW_ON_BOSU_BALL
side plank with feet on bench	core_carry	bodyweight	PLANK/SIDE_PLANK_WITH_FEET_ON_BENCH PLANK/WEIGHTED_SIDE_PLANK_WITH_FEET_ON_BENCH
side plank with knee circle	accessory	bodyweight	PLANK/SIDE_PLANK_WITH_KNEE_CIRCLE PLANK/WEIGHTED_SIDE_PLANK_WITH_KNEE_CIRCLE
side plank with knee tuck	core_carry	bodyweight	PLANK/SIDE_PLANK_WITH_KNEE_TUCK PLANK/WEIGHTED_SIDE_PLANK_WITH_KNEE_TUCK
side plank with leg lift	accessory	bodyweight	PLANK/SIDE_PLANK_WITH_LEG_LIFT PLANK/WEIGHTED_SIDE_PLANK_WITH_LEG_LIFT
side plank with reach under	core_carry	bodyweight	PLANK/SIDE_PLANK_WITH_REACH_UNDER PLANK/WEIGHTED_SIDE_PLANK_WITH_REACH_UNDER
single leg elevated feet plank	core_carry	bodyweight	PLANK/SINGLE_LEG_ELEVATED_FEET_PLANK PLANK/WEIGHTED_SINGLE_LEG_ELEVATED_FEET_PLANK
single leg flex and extend	core_carry	bodyweight	PLANK/SINGLE_LEG_FLEX_AND_EXTEND PLANK/WEIGHTED_SINGLE_LEG_FLEX_AND_EXTEND
single leg side plank	core_carry	bodyweight	PLANK/SINGLE_LEG_SIDE_PLANK PLANK/WEIGHTED_SINGLE_LEG_SIDE_PLANK
spiderman plank	core_carry	bodyweight	PLANK/SPIDERMAN_PLANK PLANK/WEIGHTED_SPIDERMAN_PLANK
straight arm plank	accessory	bodyweight	PLANK/STRAIGHT_ARM_PLANK PLANK/WEIGHTED_STRAIGHT_ARM_PLANK
straight arm plank with shoulder touch	accessory	bodyweight	PLANK/STRAIGHT_ARM_PLANK_WITH_SHOULDER_TOUCH PLANK/WEIGHTED_STRAIGHT_ARM_PLANK_WITH_SHOULDER_TOUCH
swiss ball plank	core_carry	bodyweight	PLANK/SWISS_BALL_PLANK PLANK/WEIGHTED_SWISS_BALL_PLANK
swiss ball plank leg lift	accessory	bodyweight	PLANK/SWISS_BALL_PLANK_LEG_LIFT PLANK/WEIGHTED_SWISS_BALL_PLANK_LEG_LIFT
swiss ball plank leg lift and hold	accessory	bodyweight	PLANK/SWISS_BALL_PLANK_LEG_LIFT_AND_HOLD PLANK/WEIGHTED_SWISS_BALL_PLANK_LEG_LIFT_AND_HOLD
swiss ball plank with feet on bench	core_carry	bodyweight	PLANK/SWISS_BALL_PLANK_WITH_FEET_ON_BENCH PLANK/WEIGHTED_SWISS_BALL_PLANK_WITH_FEET_ON_BENCH
swiss ball prone jackknife	core_carry	bodyweight	PLANK/SWISS_BALL_PRONE_JACKKNIFE PLANK/WEIGHTED_SWISS_BALL_PRONE_JACKKNIFE	Exercise_Ball_Pull-In
swiss ball side plank	core_carry	bodyweight	PLANK/SWISS_BALL_SIDE_PLANK PLANK/WEIGHTED_SWISS_BALL_SIDE_PLANK
t stabilization	core_carry	bodyweight	PLANK/T_STABILIZATION PLANK/WEIGHTED_T_STABILIZATION
three way plank	core_carry	bodyweight	PLANK/THREE_WAY_PLANK PLANK/WEIGHTED_THREE_WAY_PLANK
towel plank and knee in	core_carry	bodyweight	PLANK/TOWEL_PLANK_AND_KNEE_IN PLANK/WEIGHTED_TOWEL_PLANK_AND_KNEE_IN
turkish get up to side plank	core_carry	bodyweight	PLANK/TURKISH_GET_UP_TO_SIDE_PLANK PLANK/WEIGHTED_TURKISH_GET_UP_TO_SIDE_PLANK
two point plank	core_carry	bodyweight	PLANK/TWO_POINT_PLANK PLANK/WEIGHTED_TWO_POINT_PLANK
weighted 45 degree plank	core_carry	bodyweight	PLANK/WEIGHTED_45_DEGREE_PLANK
weighted 90 degree static hold	core_carry	bodyweight	PLANK/WEIGHTED_90_DEGREE_STATIC_HOLD
wide stance plank with diagonal arm lift	core_carry	bodyweight	PLANK/WEIGHTED_WIDE_STANCE_PLANK_WITH_DIAGONAL_ARM_LIFT PLANK/WIDE_STANCE_PLANK_WITH_DIAGONAL_ARM_LIFT
wide stance plank with diagonal leg lift	accessory	bodyweight	PLANK/WEIGHTED_WIDE_STANCE_PLANK_WITH_DIAGONAL_LEG_LIFT PLANK/WIDE_STANCE_PLANK_WITH_DIAGONAL_LEG_LIFT
wide stance plank with leg lift	accessory	bodyweight	PLANK/WEIGHTED_WIDE_STANCE_PLANK_WITH_LEG_LIFT PLANK/WIDE_STANCE_PLANK_WITH_LEG_LIFT
wide stance plank with opposite arm and leg lift	accessory	bodyweight	PLANK/WIDE_STANCE_PLANK_WITH_OPPOSITE_ARM_AND_LEG_LIFT PLANK/WEIGHTED_WIDE_STANCE_PLANK_WITH_OPPOSITE_ARM_AND_LEG_LIFT
bridge with glute lower lift	hinge	bodyweight	PLANK/BRIDGE_WITH_GLUTE_LOWER_LIFT	Butt_Lift_Bridge
bridge one leg bridge	hinge	bodyweight	PLANK/BRIDGE_ONE_LEG_BRIDGE	Single_Leg_Glute_Bridge
plank with arm variations	core_carry	bodyweight	PLANK/PLANK_WITH_ARM_VARIATIONS
reverse plank with leg pull	core_carry	bodyweight	PLANK/REVERSE_PLANK_WITH_LEG_PULL
bicycle crunch	core_carry	bodyweight	CRUNCH/BICYCLE_CRUNCH CRUNCH/WEIGHTED_BICYCLE_CRUNCH BANDED_EXERCISES/BICYCLE_CRUNCH
cable crunch	core_carry	cable	CRUNCH/CABLE_CRUNCH	Cable_Crunch
circular arm crunch	core_carry	bodyweight	CRUNCH/CIRCULAR_ARM_CRUNCH
cross leg reverse crunch	core_carry	bodyweight	CRUNCH/CROSS_LEG_REVERSE_CRUNCH CRUNCH/WEIGHTED_CROSS_LEG_REVERSE_CRUNCH
crossed arms crunch	core_carry	bodyweight	CRUNCH/CROSSED_ARMS_CRUNCH CRUNCH/WEIGHTED_CROSSED_ARMS_CRUNCH	Crunches
crunch	core_carry	bodyweight	CRUNCH/CRUNCH CRUNCH/WEIGHTED_CRUNCH SUSPENSION/CRUNCH CRUNCH	Crunches
crunch chop	core_carry	bodyweight	CRUNCH/CRUNCH_CHOP CRUNCH/WEIGHTED_CRUNCH_CHOP
double crunch	core_carry	bodyweight	CRUNCH/DOUBLE_CRUNCH CRUNCH/WEIGHTED_DOUBLE_CRUNCH
elbow to knee crunch	core_carry	bodyweight	CRUNCH/ELBOW_TO_KNEE_CRUNCH CRUNCH/WEIGHTED_ELBOW_TO_KNEE_CRUNCH	Elbow_to_Knee
flutter kicks	accessory	bodyweight	CRUNCH/FLUTTER_KICKS CRUNCH/WEIGHTED_FLUTTER_KICKS
foam roller reverse crunch on bench	accessory	bodyweight	CRUNCH/FOAM_ROLLER_REVERSE_CRUNCH_ON_BENCH CRUNCH/WEIGHTED_FOAM_ROLLER_REVERSE_CRUNCH_ON_BENCH
foam roller reverse crunch with dumbbell	accessory	dumbbell	CRUNCH/FOAM_ROLLER_REVERSE_CRUNCH_WITH_DUMBBELL
foam roller reverse crunch with medicine ball	accessory	dumbbell	CRUNCH/FOAM_ROLLER_REVERSE_CRUNCH_WITH_MEDICINE_BALL
frog press	core_carry	bodyweight	CRUNCH/FROG_PRESS
hanging knee raise oblique crunch	core_carry	bodyweight	CRUNCH/HANGING_KNEE_RAISE_OBLIQUE_CRUNCH CRUNCH/WEIGHTED_HANGING_KNEE_RAISE_OBLIQUE_CRUNCH
hip crossover	core_carry	bodyweight	CRUNCH/HIP_CROSSOVER CRUNCH/WEIGHTED_HIP_CROSSOVER
hollow rock	core_carry	bodyweight	CRUNCH/HOLLOW_ROCK CRUNCH/WEIGHTED_HOLLOW_ROCK
incline reverse crunch	core_carry	bodyweight	CRUNCH/INCLINE_REVERSE_CRUNCH CRUNCH/WEIGHTED_INCLINE_REVERSE_CRUNCH	Decline_Reverse_Crunch
kneeling cable crunch	core_carry	cable	CRUNCH/KNEELING_CABLE_CRUNCH	Cable_Crunch
kneeling cross crunch	core_carry	bodyweight	CRUNCH/KNEELING_CROSS_CRUNCH CRUNCH/WEIGHTED_KNEELING_CROSS_CRUNCH
kneeling oblique cable crunch	core_carry	cable	CRUNCH/KNEELING_OBLIQUE_CABLE_CRUNCH	Kneeling_Cable_Crunch_With_Alternating_Oblique_Twists
knees to elbow	core_carry	bodyweight	CRUNCH/KNEES_TO_ELBOW	Elbow_to_Knee
leg climb crunch	core_carry	bodyweight	CRUNCH/LEG_CLIMB_CRUNCH
leg extensions	accessory	bodyweight	CRUNCH/LEG_EXTENSIONS CRUNCH/WEIGHTED_LEG_EXTENSIONS
leg levers	core_carry	bodyweight	CRUNCH/LEG_LEVERS
mcgill curl up	accessory	bodyweight	CRUNCH/MCGILL_CURL_UP CRUNCH/WEIGHTED_MCGILL_CURL_UP
modified pilates roll up with ball	core_carry	bodyweight	CRUNCH/MODIFIED_PILATES_ROLL_UP_WITH_BALL CRUNCH/WEIGHTED_MODIFIED_PILATES_ROLL_UP_WITH_BALL
pilates crunch	core_carry	bodyweight	CRUNCH/PILATES_CRUNCH CRUNCH/WEIGHTED_PILATES_CRUNCH
pilates roll up with ball	core_carry	bodyweight	CRUNCH/PILATES_ROLL_UP_WITH_BALL CRUNCH/WEIGHTED_PILATES_ROLL_UP_WITH_BALL
raised legs crunch	core_carry	bodyweight	CRUNCH/RAISED_LEGS_CRUNCH CRUNCH/WEIGHTED_RAISED_LEGS_CRUNCH
reverse crunch	core_carry	bodyweight	CRUNCH/REVERSE_CRUNCH CRUNCH/WEIGHTED_REVERSE_CRUNCH BANDED_EXERCISES/REVERSE_CRUNCH	Reverse_Crunch
reverse crunch on a bench	core_carry	bodyweight	CRUNCH/REVERSE_CRUNCH_ON_A_BENCH CRUNCH/WEIGHTED_REVERSE_CRUNCH_ON_A_BENCH
reverse curl and lift	accessory	bodyweight	CRUNCH/REVERSE_CURL_AND_LIFT CRUNCH/WEIGHTED_REVERSE_CURL_AND_LIFT
rotational lift	core_carry	bodyweight	CRUNCH/ROTATIONAL_LIFT CRUNCH/WEIGHTED_ROTATIONAL_LIFT
ruck flutter kicks	accessory	bodyweight	CRUNCH/RUCK_FLUTTER_KICKS
seated alternating reverse crunch	core_carry	bodyweight	CRUNCH/SEATED_ALTERNATING_REVERSE_CRUNCH CRUNCH/WEIGHTED_SEATED_ALTERNATING_REVERSE_CRUNCH
seated leg u	core_carry	bodyweight	CRUNCH/SEATED_LEG_U CRUNCH/WEIGHTED_SEATED_LEG_U	Seated_Leg_Tucks
side to side crunch and weave	core_carry	bodyweight	CRUNCH/SIDE_TO_SIDE_CRUNCH_AND_WEAVE CRUNCH/WEIGHTED_SIDE_TO_SIDE_CRUNCH_AND_WEAVE
single leg reverse crunch	core_carry	bodyweight	CRUNCH/SINGLE_LEG_REVERSE_CRUNCH CRUNCH/WEIGHTED_SINGLE_LEG_REVERSE_CRUNCH
skater crunch cross	single_leg	bodyweight	CRUNCH/SKATER_CRUNCH_CROSS CRUNCH/WEIGHTED_SKATER_CRUNCH_CROSS
standing cable crunch	core_carry	cable	CRUNCH/STANDING_CABLE_CRUNCH	Standing_Rope_Crunch
standing side crunch	core_carry	bodyweight	CRUNCH/STANDING_SIDE_CRUNCH
